name,aw
6-8cm, 2.8
8-10cm, 3.5
10-12cm, 4.3
12-14cm, 5.1
14-16cm, 5.9
16-18cm, 6.7
18-20cm, 7.5
20-22cm, 8.3
22-24cm, 9.1
24-26cm, 9.8
26-28cm, 10.6
28-30cm, 11.4
